crypto_id,crypto_name,last_value,last_closing_value,starting_range_value,ending_range_value,5_Day,1_Month,3_Month,1_Year,YTD
BTCRON,Bitcoin RON,215577.0,209820.0,205059.0,215577.0,-8.22,-22.17,14.24,196.26,86.81
BTCRSD,Bitcoin RSD,5120042.0,4985245.0,4870536.0,5120042.0,-8.26,-22.20,14.24,191.35,83.70
BTCRUB,Bitcoin RUB,3620213.0,3520971.0,3443596.0,3620213.0,-8.65,-22.46,9.70,174.21,68.59
BTCRWF,Bitcoin RWF,50866751.0,48103978.0,46997548.0,50866751.0,-5.23,-21.20,11.70,185.22,78.28
BTCSAR,Bitcoin SAR,184898.0,180008.0,175863.0,184898.0,-8.17,-23.05,9.32,172.25,70.15
BTCSBD,Bitcoin SBD,397620.0,387126.0,378221.0,397620.0,-8.25,-22.80,9.38,173.12,71.54
BTCSCR,Bitcoin SCR,630106.0,613621.0,599232.0,630106.0,-8.29,-28.72,7.97,64.12,2.58
BTCSDG,Bitcoin SDG,21599053.0,21028996.0,20545312.0,21599053.0,-8.02,-23.04,8.00,"2,057.19","1,250.23"
BTCSEK,Bitcoin SEK,446062.0,434219.0,424303.0,446062.0,-9.19,-20.61,14.61,191.38,87.16
BTCSGD,Bitcoin SGD,67255.0,65422.0,64014.0,67255.0,-8.59,-22.36,11.13,177.83,75.81
BTCSHP,Bitcoin SHP,37140.0,36162.0,35323.0,37140.0,-8.39,-22.20,13.93,171.32,75.35
BTCSLL,Bitcoin SLL,551053090.0,536461325.0,524122276.0,551053090.0,-7.68,-21.18,18.44,198.60,88.47
BTCSOS,Bitcoin SOS,28644844.0,28118635.0,27471883.0,28644844.0,-8.77,-23.58,9.81,171.37,69.62
BTCSRD,Bitcoin SRD,1061841.0,1033816.0,1010037.0,1061841.0,-8.12,-22.99,10.20,314.34,158.99
BTCSTD,Bitcoin STD,1049654375.0,1021951158.0,998445445.0,1049654375.0,-7.70,-21.71,12.19,177.38,77.72
BTCSVC,Bitcoin SVC,431113.0,419734.0,410080.0,431113.0,-8.19,-23.12,9.28,172.05,70.12
BTCSYP,Bitcoin SYP,123828002.0,120559846.0,117786871.0,123828002.0,-8.17,53.72,118.34,"1,233.47",733.60
BTCSZL,Bitcoin SZL,784628.0,766305.0,748679.0,784628.0,-9.26,-19.93,23.46,187.94,84.40
BTCTHB,Bitcoin THB,1656725.0,1610847.0,1575799.0,1656725.0,-8.82,-21.02,12.29,204.14,90.70
BTCTJS,Bitcoin TJS,556218.0,541538.0,529082.0,556218.0,-8.19,-23.09,8.84,171.14,69.55
BTCTMT,Bitcoin TMT,172990.0,168424.0,164550.0,172990.0,-7.91,-22.86,9.29,172.98,70.63
BTCTND,Bitcoin TND,142088.0,138338.0,135156.0,142088.0,-8.03,-21.71,13.06,190.06,82.05
BTCTOP,Bitcoin TOP,112593.0,109622.0,107100.0,112593.0,-8.26,-21.95,11.12,172.52,70.93
BTCTRY,Bitcoin TRY,684078.0,666279.0,650704.0,684078.0,-7.17,6.79,79.29,381.91,217.72
BTCTTD,Bitcoin TTD,334813.0,325976.0,318479.0,334813.0,-8.06,-23.06,9.29,172.59,70.98
BTCTWD,Bitcoin TWD,1363005.0,1327895.0,1296509.0,1363005.0,-8.28,-23.48,9.29,167.11,67.43
BTCTZS,Bitcoin TZS,113502841.0,110507194.0,107965438.0,113502841.0,-8.17,-23.01,8.56,170.26,69.01
BTCUAH,Bitcoin UAH,1330453.0,1295339.0,1265545.0,1330453.0,-9.33,-20.64,10.39,162.93,62.13
BTCUGX,Bitcoin UGX,175292030.0,170665599.0,166740151.0,175292030.0,-8.37,-22.51,10.29,163.38,66.48
BTCUSD,Bitcoin USD,49285.0,47984.0,46880.0,49285.0,-8.17,-23.08,9.29,172.20,70.15
BTCUSD,Bitcoin USD,49285.0,47984.0,46880.0,49285.0,-8.17,-23.08,9.29,172.20,70.15
BTCUYU,Bitcoin UYU,2179102.0,2121590.0,2072791.0,2179102.0,-8.07,-22.43,13.18,182.73,77.59
BTCUZS,Bitcoin UZS,530426497.0,519283046.0,507339112.0,530426497.0,-8.39,-22.77,10.28,180.66,74.82
BTCVND,Bitcoin VND,1135028411.0,1105071942.0,1079654384.0,1135028411.0,-6.98,-21.79,10.43,170.88,68.97
BTCVUV,Bitcoin VUV,5554311.0,5407717.0,5283336.0,5554311.0,-7.60,-22.35,10.58,176.03,75.59
BTCWST,Bitcoin WST,127522.0,124156.0,121301.0,127522.0,-7.32,-22.50,10.44,174.16,74.65
BTCXAF,Bitcoin XAF,28566487.0,27810918.0,27169230.0,28566487.0,-8.24,-22.20,14.08,191.46,83.66
BTCXAG,Bitcoin XAG,2221.89,2165.35,2113.49,2221.89,-6.66,-12.26,17.05,194.00,102.70
BTCXAU,Bitcoin XAU,27.6389,26.9142,26.2905,27.6389,-8.19,-19.49,9.59,180.76,81.33
BTCXBT,Bitcoin XBT,1.0,1.0,1.0,1.0,0.00,0.00,0.00,0.00,0.00
BTCXCD,Bitcoin XCD,133195.0,129679.0,126696.0,133195.0,-8.17,-23.08,9.29,172.20,70.15
BTCXDR,Bitcoin XDR,35096.0,34280.0,33492.0,35096.0,-8.48,-23.04,10.92,179.04,74.75
BTCXOF,Bitcoin XOF,28566487.0,27810918.0,27169230.0,28566487.0,-8.24,-22.20,14.08,191.46,83.66
BTCXPF,Bitcoin XPF,5196817.0,5059364.0,4942628.0,5196817.0,-8.24,-22.20,14.08,191.46,83.66
BTCYER,Bitcoin YER,12333512.0,12007998.0,11731804.0,12333512.0,-8.17,-23.08,9.03,172.04,70.04
BTCZAR,Bitcoin ZAR,788376.0,766336.0,749931.0,788376.0,-8.56,-19.86,22.99,187.90,85.23
BTCZMK,Bitcoin ZMK,258896639.0,252063656.0,246265986.0,258896639.0,-8.17,-23.08,9.29,172.20,70.15
BTCZMW,Bitcoin ZMW,788944.0,771062.0,753327.0,788944.0,-17.57,-29.58,7.78,106.71,28.68
BTCZWL,Bitcoin ZWL,15869698.0,15450854.0,15095472.0,15869698.0,-8.17,-23.08,9.29,172.20,70.15
ADAEUR,Cardano EUR,1.1662,1.1064,1.0552,1.1662,-16.46,-35.15,-41.66,,
ADAUSD,Cardano USD,1.3164,1.2517,1.193,1.3164,-16.40,-36.01,-44.17,845.69,624.53
LINKEUR,Chainlink EUR,17.8764,17.0541,16.1192,17.8764,-13.95,-40.56,-19.69,,
LINKUSD,Chainlink USD,20.1897,19.297,18.2199,20.1897,-13.84,-41.33,-23.27,73.30,79.44
ATOMEUR,Cosmos EUR,21.9282,20.6735,19.4715,21.9282,-21.61,-21.69,-5.54,,
ATOMUSD,Cosmos USD,24.7487,23.3995,21.9934,24.7487,-21.68,-22.69,-9.68,424.85,281.93
CQTEUR,Covalent EUR,0.514,0.557,0.514,0.57,-37.39,-46.18,-50.05,,
CQTUSD,Covalent USD,0.579,0.632,0.579,0.632,-37.54,-46.39,-52.15,,
